t,q0,q1,q2,q3,q4,q5,do
5945.5509999999995,-3.2726918355763246e-05,-1.5708190403380335,-1.5708117485046387,-1.5708362064757289,1.570757508277893,-1.732503072560121e-06,768
5945.554999999999,-4.593526021778871e-06,-1.570790859843175,-1.570839762687683,-1.570852895776266,1.5707942247390747,-3.415742983037262e-05,768
5945.558999999999,-4.464784731084137e-05,-1.5708028278746546,-1.5708035230636597,-1.570852895776266,1.5707736015319824,1.9073486328125e-06,768
5945.563,-4.464784731084137e-05,-1.5707949483783814,-1.570831537246704,-1.5708643398680628,1.570757508277893,-2.175966371709137e-05,768
5945.567,-5.323091615849762e-05,-1.5707343432116723,-1.5708272457122803,-1.5708729229369105,1.5707895755767822,1.0013580322265625e-05,768
5945.571,-8.088747133427887e-05,-1.5708309612669886,-1.5708436965942383,-1.570860048333639,1.5707979202270508,-1.732503072560121e-06,768
5945.575,-4.593526021778871e-06,-1.5708028278746546,-1.5708036422729492,-1.5708486042418421,1.570781946182251,-2.9865895406544496e-05,768
5945.579,-4.083315004521637e-05,-1.5708190403380335,-1.5708515644073486,-1.570860048333639,1.5708262920379639,-9.838734762013246e-06,768
5945.583,-6.515184511357575e-05,-1.5707867256463324,-1.570859670639038,-1.5708362064757289,1.570814609527588,-9.838734762013246e-06,768
5945.5869999999995,3.337860107421875e-06,-1.5707908433726807,-1.5708355903625488,-1.5708724460997523,1.5707895755767822,-2.2236500875294496e-05,768
5945.590999999999,-3.6541615621388246e-05,-1.5707867256445134,-1.5708438158035278,-1.570904394189352,1.570793628692627,-3.415742983037262e-05,768
5945.594999999999,-8.408223287403871e-06,-1.5707705437001387,-1.570831537246704,-1.570831914941305,1.5707900524139404,-9.838734762013246e-06,768
5945.599,-0.0001176039325159195,-1.5708347759642542,-1.570831537246704,-1.5708290539183558,1.570798397064209,1.3983250028104521e-05,768
5945.603,-5.704561342412262e-05,-1.570827146569723,-1.570847511291504,-1.5708557567992152,1.5707539319992065,1.0013580322265625e-05,768
5945.607,-1.2222920553028871e-05,-1.5707949814157764,-1.5708272457122803,-1.570824762383932,1.5707859992980957,4.981350866728462e-05,768
5945.611,-4.464784731084137e-05,-1.5707746937262819,-1.5707995891571045,-1.5708281002440394,1.5707900524139404,-1.7468129293263246e-05,768
5945.615,-4.8939381734669496e-05,-1.5707626333281333,-1.570839762687683,-1.5708404980101527,1.5708346366882324,-5.7522450582325746e-05,768
5945.619,-5.323091615849762e-05,-1.570770535425556,-1.570827603340149,-1.5708643398680628,1.5708186626434326,-3.797212709599762e-05,768
5945.623,-4.8939381734669496e-05,-1.5707788197053851,-1.570831537246704,-1.5708486042418421,1.5708305835723877,-1.7468129293263246e-05,768
5945.6269999999995,-5.323091615849762e-05,-1.570810934106344,-1.5708035230636597,-1.5709005794920863,1.5708019733428955,1.0013580322265625e-05,768
5945.630999999999,1.5151501429500058e-05,-1.5707908350967337,-1.5708235502243042,-1.5708848438658656,1.570814609527588,6.198883056640625e-06,768
5945.634999999999,-4.593526021778871e-06,-1.5707908268539832,-1.5708597898483276,-1.570860048333639,1.5708019733428955,1.0013580322265625e-05,768
5945.639,-4.8939381734669496e-05,-1.5708190403380335,-1.5708438158035278,-1.570860048333639,1.5707415342330933,-5.547200338185121e-06,768
5945.643,-2.8912221090138246e-05,-1.5707705677799204,-1.5708355903625488,-1.570860048333639,1.570770025253296,-1.732503072560121e-06,768
5945.647,-4.464784731084137e-05,-1.5707503329579886,-1.5708355903625488,-1.5708805523314417,1.570745587348938,-9.838734762013246e-06,768
5945.651,-6.6105519429982e-05,-1.5707222541644406,-1.5708274841308594,-1.5708161793150843,1.570770025253296,-3.415742983037262e-05,768
5945.655,-3.6541615621388246e-05,-1.5708071194090785,-1.570807695388794,-1.5708686314024867,1.5707659721374512,-9.838734762013246e-06,768
5945.659,-4.5124684469044496e-05,-1.5708071194090785,-1.5708355903625488,-1.5708934269347132,1.5707942247390747,-1.732503072560121e-06,768
5945.663,-4.8939381734669496e-05,-1.570810934106344,-1.570847511291504,-1.5708810291686,1.570810317993164,-2.2236500875294496e-05,768
5945.6669999999995,-7.278123964482575e-05,-1.5707867136064415,-1.5708556175231934,-1.5708643398680628,1.5707781314849854,-1.7468129293263246e-05,768
5945.670999999999,-5.704561342412262e-05,-1.5708071194090785,-1.5708117485046387,-1.5708362064757289,1.5707823038101196,2.9873848689021543e-05,768
5945.675,-4.593526021778871e-06,-1.5707664548211433,-1.5708231925964355,-1.5708447895445765,1.5707979202270508,-2.6051198140919496e-05,768
5945.679,-8.408223287403871e-06,-1.5707788197053851,-1.5708355903625488,-1.570852895776266,1.5707979202270508,4.591131073539145e-05,768
5945.683,-4.8939381734669496e-05,-1.5707826246119403,-1.570815086364746,-1.5708242855467738,1.5708388090133667,2.987384687003214e-05,768
5945.687,-4.8939381734669496e-05,-1.570778494959388,-1.570831537246704,-1.5708447895445765,1.5708101987838745,6.198883056640625e-06,768
5945.691,-6.515184511357575e-05,-1.570774701944476,-1.5708231925964355,-1.5708447895445765,1.5708459615707397,6.198883056640625e-06,768
5945.695,-4.083315004521637e-05,-1.570766462948388,-1.5708036422729492,-1.5708810291686,1.570810317993164,-4.941621889287262e-05,768
5945.699,-2.0329152242481996e-05,-1.5708190403380335,-1.5708231925964355,-1.570852895776266,1.5707859992980957,-2.2236500875294496e-05,768
5945.7029999999995,1.1444091796875e-05,-1.5707667630961915,-1.5708117485046387,-1.5708447895445765,1.5707696676254272,-1.7468129293263246e-05,768
