t,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5,ss,f0,f1,f2,f3,f4,f5,tsf,do
11497.110999999999,-0.3096155689396225, -1.9440923281896598, -1.5433874135313745, -1.1024121730932794, 1.640202684247295, 1.7660722016916592,-0.6613137499813554, 0.3075148024991566, -0.545393338629048, 0.3236548604847552, -0.033116330978981076, 0.2545500273338171,1.0,-8731.855747845071, -2829.2885971297756, 21513.79890125921, -76.63255110502814, 220.68936575893485, 37.917186051375154,1.0,769
11497.118999999999,-0.31232390461282744, -1.9428412904195707, -1.5456079433990144, -1.1010920662189196, 1.6400677760349986, 1.7671104294095907,-0.6653733760756025, 0.3053024509753397, -0.5423305853323238, 0.3230012132162414, -0.03296812994105698, 0.25402664962623495,1.0,-8731.113001049285, -2830.28992619613, 21514.334503643695, -76.5951958886526, 220.745257741792, 37.919007480979275,1.0,769
11497.126999999999,-0.3150383951637368, -1.9416040967997041, -1.547807454006632, -1.0997796771977653, 1.639933993108489, 1.7681425432288917,-0.6694332006265353, 0.3030597124889471, -0.5392331219572101, 0.3223421705094424, -0.032816684859911974, 0.2534960178294263,1.0,-8732.898485374266, -2829.9978882280884, 21514.08872639272, -76.61384988347592, 220.6696273186201, 37.91511885329649,1.0,769
11497.135,-0.317759016018484, -1.9403807550583707, -1.549985982579102, -1.098474958442373, 1.6398013389148276, 1.769168569111736,-0.6734926512905965, 0.3007864475754863, -0.5361007300066147, 0.32167761908560444, -0.032662004641302575, 0.25295824108157733,1.0,-8730.492439343072, -2830.6845934589064, 21514.557512512067, -76.59763331523331, 220.76124001660986, 37.92605033260142,1.0,769
11497.143,-0.3204857420792475, -1.9391712731200865, -1.5521435656155447, -1.0971778629014795, 1.6396698167857156, 1.7701885335345342,-0.6775511449401337, 0.2984825235067709, -0.532933197352761, 0.32100744472717596, -0.03250409917742221, 0.2524134312533711,1.0,-8731.576529140706, -2830.0277909453207, 21514.37586688056, -76.61134411655729, 220.72160976168243, 37.9176954505414,1.0,769
11497.151,-0.32321854772303027, -1.9379756590932447, -1.5542802389042372, -1.0958883440575882, 1.639539429936572, 1.7712024634890058,-0.6816080877381543, 0.29614781451940786, -0.5297303184998285, 0.3203315323259377, -0.03234297936663914, 0.2518617029855689,1.0,-8732.394016391023, -2830.1073017978897, 21513.85610778254, -76.62105353908026, 220.6678698520538, 37.92346499094933,1.0,769
11497.159,-0.3259574068005353, -1.9367939212578946, -1.5563960375372519, -1.0946063559247108, 1.6394101814656226, 1.77221038648316,-0.685662875234913, 0.2937822020383657, -0.5264918948405473, 0.31964976593113303, -0.03217865713261803, 0.25130317372171085,1.0,-8730.996268038974, -2829.5255506611675, 21514.34947407808, -76.62535894901694, 220.74890054829245, 37.91786844484258,1.0,769
11497.167,-0.3287022926351284, -1.9356260680536552, -1.5584909959248092, -1.0933318530462603, 1.6392820743529986, 1.7732123305421874,-0.6897148924701654, 0.2913855749040292, -0.5232177349189672, 0.3189620288005627, -0.03201114544303448, 0.2507379637387122,1.0,-8731.80205951557, -2828.8721666616466, 21514.0783928225, -76.63851302776845, 220.69156342408934, 37.92158577038791,1.0,769
11497.175,-0.331453178021893, -1.934472108067749, -1.560565147809367, -1.0920647904930831, 1.63915511145985, 1.774208324209257,-0.6937635140886834, 0.2889578295978268, -0.5199076546923882, 0.31826820345332885, -0.03184045832819035, 0.25016619617713376,1.0,-8731.227131338122, -2829.235602842141, 21513.7538827246, -76.63524289476325, 220.73347243460586, 37.92857653625481,1.0,769
11497.182999999999,-0.33421003522678205, -1.9333320500231483, -1.562618526279441, -1.090805123861637, 1.6390292955274675, 1.7751983965462212,-0.6978081044665347, 0.2864988704678339, -0.5165614777948598, 0.3175681717249912, -0.0316666108992498, 0.24958799706970977,1.0,-8731.382529579052, -2829.7439269635597, 21513.737127869044, -76.63690949918364, 220.7185134551998, 37.909477351679584,1.0,769
